Date,Time,Temperature,Pressure
05/07/2015,105158.312,32,11
05/07/2015,105159.312,32,14
05/07/2015,105200.312,32,14
05/07/2015,105201.312,32,14
05/07/2015,105202.312,32,14
05/07/2015,105203.312,32,14
05/07/2015,105204.312,32,16
05/07/2015,105205.312,32,15
05/07/2015,105206.312,32,15
05/07/2015,105207.312,32,17
05/07/2015,105208.312,32,17
05/07/2015,105209.312,32,16
05/07/2015,105210.312,32,17
05/07/2015,105211.312,32,15
05/07/2015,105212.312,32,16
05/07/2015,105213.312,32,15
05/07/2015,105214.312,32,16
05/07/2015,105215.312,32,16
05/07/2015,105216.312,32,17
05/07/2015,105217.312,32,15
05/07/2015,105218.312,32,15
05/07/2015,105219.312,32,15
05/07/2015,105220.312,32,15
05/07/2015,105221.312,32,15
05/07/2015,105222.312,32,15
05/07/2015,105223.312,32,15
05/07/2015,105224.312,32,14
05/07/2015,105225.312,33,15
05/07/2015,105226.312,33,14
05/07/2015,105227.312,33,15
05/07/2015,105228.312,33,15
05/07/2015,105229.312,33,16
05/07/2015,105230.312,33,24
05/07/2015,105231.312,33,34
05/07/2015,105232.312,33,37
05/07/2015,105233.312,33,38
05/07/2015,105234.312,33,37
05/07/2015,105235.312,33,37
05/07/2015,105236.312,33,38
05/07/2015,105237.312,33,38
05/07/2015,105238.312,33,38
05/07/2015,105239.312,33,38
05/07/2015,105240.312,33,38
05/07/2015,105241.312,32,38
05/07/2015,105242.312,32,38
05/07/2015,105243.312,32,38
05/07/2015,105244.312,32,38
05/07/2015,105245.312,32,38
05/07/2015,105246.312,32,38
05/07/2015,105247.312,32,38
05/07/2015,105248.312,32,38
05/07/2015,105249.312,32,38
05/07/2015,105250.312,32,38
05/07/2015,105251.312,32,38
05/07/2015,105252.312,32,38
05/07/2015,105253.312,32,37
05/07/2015,105254.312,32,38
05/07/2015,105255.312,32,38
05/07/2015,105256.312,32,38
05/07/2015,105257.312,32,38
05/07/2015,105258.312,32,38
05/07/2015,105259.312,32,38
05/07/2015,105300.312,32,37
05/07/2015,105301.312,32,37
05/07/2015,105302.312,32,38
05/07/2015,105303.312,32,38
05/07/2015,105304.312,32,38
05/07/2015,105305.312,33,37
05/07/2015,105306.312,33,38
05/07/2015,105307.312,33,38
05/07/2015,105308.312,33,38
05/07/2015,105309.312,33,38
05/07/2015,105310.312,33,38
05/07/2015,105311.312,33,37
05/07/2015,105312.312,33,38
05/07/2015,105313.312,32,38
05/07/2015,105314.312,32,38
05/07/2015,105315.312,32,38
05/07/2015,105316.312,32,39
05/07/2015,105317.312,32,43
05/07/2015,105318.312,32,43
05/07/2015,105319.312,32,42
05/07/2015,105320.312,32,42
05/07/2015,105321.312,32,41
05/07/2015,105322.312,32,41
05/07/2015,105323.312,32,41
05/07/2015,105324.312,32,41
05/07/2015,105325.312,32,40
05/07/2015,105326.312,32,40
05/07/2015,105327.312,32,40
05/07/2015,105328.312,32,42
05/07/2015,105329.312,33,41
05/07/2015,105330.312,33,40
05/07/2015,105331.312,33,40
05/07/2015,105332.312,33,40
05/07/2015,105333.312,33,40
05/07/2015,105334.312,33,39
05/07/2015,105335.312,33,40
05/07/2015,105336.312,33,38
05/07/2015,105337.312,32,38
05/07/2015,105338.312,32,39
05/07/2015,105339.312,32,40
05/07/2015,105340.312,32,40
05/07/2015,105341.312,32,40
05/07/2015,105342.312,32,40
05/07/2015,105343.312,32,40
05/07/2015,105344.312,32,40
05/07/2015,105345.312,32,40
05/07/2015,105346.312,32,40
05/07/2015,105347.312,32,40
05/07/2015,105348.312,32,39
05/07/2015,105349.312,32,40
05/07/2015,105350.312,32,40
05/07/2015,105351.312,32,40
05/07/2015,105352.312,32,41
05/07/2015,105353.312,33,40
05/07/2015,105354.312,33,39
05/07/2015,105355.312,33,40
05/07/2015,105356.312,33,40
05/07/2015,105357.312,33,40
05/07/2015,105358.312,33,40
05/07/2015,105359.312,33,40
05/07/2015,105400.312,33,41
05/07/2015,105401.312,32,40
05/07/2015,105402.312,32,40
05/07/2015,105403.312,32,41
05/07/2015,105404.312,32,40
05/07/2015,105405.312,32,40
05/07/2015,105406.312,32,40
05/07/2015,105407.312,32,41
05/07/2015,105408.312,32,40
05/07/2015,105409.312,33,40
05/07/2015,105410.312,33,39
05/07/2015,105411.312,33,40
05/07/2015,105412.312,33,40
05/07/2015,105413.312,33,40
05/07/2015,105414.312,33,41
05/07/2015,105415.312,33,40
05/07/2015,105416.312,33,40
05/07/2015,105417.312,32,40
05/07/2015,105418.312,32,41
05/07/2015,105419.312,32,40
05/07/2015,105420.312,32,40
05/07/2015,105421.312,32,40
05/07/2015,105422.312,32,40
05/07/2015,105423.312,32,40
05/07/2015,105424.312,32,40
05/07/2015,105425.312,32,40
05/07/2015,105426.312,32,40
05/07/2015,105427.312,32,39
05/07/2015,105428.312,32,40
05/07/2015,105429.312,32,40
05/07/2015,105430.312,32,40
05/07/2015,105431.312,32,40
05/07/2015,105432.312,32,40
05/07/2015,105433.312,32,40
05/07/2015,105434.312,32,40
05/07/2015,105435.312,32,40
05/07/2015,105436.312,32,40
05/07/2015,105437.312,32,40
05/07/2015,105438.312,32,40
05/07/2015,105439.312,32,41
05/07/2015,105440.312,32,40
05/07/2015,105441.312,32,40
05/07/2015,105442.312,32,41
05/07/2015,105443.312,32,39
05/07/2015,105444.312,32,40
05/07/2015,105445.312,32,40
05/07/2015,105446.312,32,40
05/07/2015,105447.312,32,40
05/07/2015,105448.312,32,40
05/07/2015,105449.312,32,40
05/07/2015,105450.312,32,40
05/07/2015,105451.312,32,40
05/07/2015,105452.312,32,41
05/07/2015,105453.312,32,40
05/07/2015,105454.312,32,40
05/07/2015,105455.312,32,40
05/07/2015,105456.312,32,41
05/07/2015,105457.312,32,40
05/07/2015,105458.312,32,39
05/07/2015,105459.312,32,40
05/07/2015,105500.312,32,41
05/07/2015,105501.312,32,40
05/07/2015,105502.312,32,40
05/07/2015,105503.312,32,40
05/07/2015,105504.312,32,40
05/07/2015,105505.312,32,40
05/07/2015,105506.312,32,40
05/07/2015,105507.312,32,40
05/07/2015,105508.312,32,40
05/07/2015,105509.312,32,40
05/07/2015,105510.312,32,39
05/07/2015,105511.312,32,40
05/07/2015,105512.312,32,40
05/07/2015,105513.312,32,40
05/07/2015,105514.312,32,40
05/07/2015,105515.312,32,39
05/07/2015,105516.312,32,40
05/07/2015,105517.312,32,39
05/07/2015,105518.312,32,40
05/07/2015,105519.312,32,40
05/07/2015,105520.312,32,41
05/07/2015,105521.312,32,39
05/07/2015,105522.312,32,40
05/07/2015,105523.312,32,40
05/07/2015,105524.312,32,41
05/07/2015,105525.312,32,39
05/07/2015,105526.312,32,40
05/07/2015,105527.312,32,40
05/07/2015,105528.312,32,40
05/07/2015,105529.312,32,40
05/07/2015,105530.312,32,40
05/07/2015,105531.312,32,39
05/07/2015,105532.312,32,39
05/07/2015,105533.312,32,40
05/07/2015,105534.312,32,40
05/07/2015,105535.312,32,40
05/07/2015,105536.312,32,41
05/07/2015,105537.312,33,40
05/07/2015,105538.312,33,39
05/07/2015,105539.312,33,40
05/07/2015,105540.312,33,39
05/07/2015,105541.312,33,40
05/07/2015,105542.312,33,40
05/07/2015,105543.312,33,40
05/07/2015,105544.312,33,39
05/07/2015,105545.312,33,40
05/07/2015,105546.312,33,40
05/07/2015,105547.312,33,41
05/07/2015,105548.312,33,40
05/07/2015,105549.312,33,39
05/07/2015,105550.312,33,40
05/07/2015,105551.312,33,40
05/07/2015,105552.312,33,40
05/07/2015,105553.312,32,40
05/07/2015,105554.312,32,41
05/07/2015,105555.312,32,40
05/07/2015,105556.312,32,40
05/07/2015,105557.312,32,40
05/07/2015,105558.312,32,40
05/07/2015,105559.312,32,40
05/07/2015,105600.312,32,40
05/07/2015,105601.312,32,39
05/07/2015,105602.312,32,40
05/07/2015,105603.312,32,40
05/07/2015,105604.312,32,40
05/07/2015,105605.312,32,40
05/07/2015,105606.312,32,40
05/07/2015,105607.312,32,40
05/07/2015,105608.312,32,40
05/07/2015,105609.312,33,40
05/07/2015,105610.312,33,40
05/07/2015,105611.312,33,40
05/07/2015,105612.312,33,40
05/07/2015,105613.312,33,40
05/07/2015,105614.312,33,40
05/07/2015,105615.312,33,41
05/07/2015,105616.312,33,40
05/07/2015,105617.312,32,40
05/07/2015,105618.312,32,40
05/07/2015,105619.312,32,41
05/07/2015,105620.312,32,40
05/07/2015,105621.312,32,40
05/07/2015,105622.312,32,40
05/07/2015,105623.312,32,40
05/07/2015,105624.312,32,40
05/07/2015,105625.312,32,40
05/07/2015,105626.312,32,40
05/07/2015,105627.312,32,39
05/07/2015,105628.312,32,40
05/07/2015,105629.312,32,40
05/07/2015,105630.312,32,40
05/07/2015,105631.312,32,40
05/07/2015,105632.312,32,40
05/07/2015,105633.312,33,40
05/07/2015,105634.312,33,40
05/07/2015,105635.312,33,40
05/07/2015,105636.312,33,41
05/07/2015,105637.312,33,40
05/07/2015,105638.312,33,40
